ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 1 default","Attribute 2 default"
\nPlease note: this model requires a 20” prop motor.
\n<h3><strong>Included:</strong></h3>
\nComes fully equipped with military grade wrap around life line and interior grab lines, multiple heavy duty D-ring systems installed throughout,  fuel tank/battery box tie down, heavy duty transom motor mount, towing eyes on bow, with heavy duty D-handle for use with <a href=""https://strykerboats.com/product/stryker-launching-wheels-standard/"" target=""_blank"" rel=""noopener"">Stryker launching wheel system</a>.
\n
\nIncluded in your package: single set of <a href=""https://strykerboats.com/product/stryker-oar-kit/"" target=""_blank"" rel=""noopener"">oars</a>, double set of <a href=""https://strykerboats.com/product/aluminum-bench-seats/"" target=""_blank"" rel=""noopener"">aluminum seats</a>, 1680 denier <a href=""https://strykerboats.com/product/stryker-easy-load-boat-bag/"" target=""_blank"" rel=""noopener"">boat bag</a>, floor bag, <a href=""https://strykerboats.com/product/stryker-bow-bag/"" target=""_blank"" rel=""noopener"">bow bag</a>, <a href=""https://strykerboats.com/product/essentials-bag/"">essential bag</a>, <a href=""https://strykerboats.com/product/stryker-smart-cargo-bag-bench-cushion/"">smart cargo bag bench cushion</a>, <a href=""https://strykerboats.com/product/repair-kit5x6/"">repair kit</a> and <a href=""https://strykerboats.com/product/high-pressure-foot-pump/"" target=""_blank"" rel=""noopener"">foot pump</a>.  As an added bonus, a <a href=""https://strykerboats.com/product/stryker-sunshade-bimini/"" target=""_blank"" rel=""noopener"">sun shade bimini top,</a> and 2 <a href=""https://strykerboats.com/product/scotty-bait-caster-rod-holder-w-mount/"" target=""_blank"" rel=""noopener"">Scotty® baitcasters</a> fishing rod holders.
\n
\nThis Stryker Inflatable Boat package comes in 2 bags, 1 for your boat and 1 for your aluminum floor system.
\n<ul>
\n 	<li>Dimensions of Boat in Bag: 53 x 29 x 19""</li>
\n 	<li>Dimensions of Aluminum Floor in Bag: 46 x 28 x 6""</li>
\n</ul>
\nThis inflatable boat is commonly paired and recommended with our <a href=""https://strykerboats.com/product/boat-trailer-soft-hull-stryker-edition/"" target=""_blank"" rel=""noopener"">custom Road Runner Stryker Boat Trailer</a> and various console options.  Available in Storm Grey or Blacked Out.<a href=""https://strykerboats.com/warranty/""> </a>
\n
\n<a href=""https://strykerboats.com/warranty/"" target=""_blank"" rel=""noopener"">Stryker Boats 5 year manufacturer warranty</a>.",,,taxable,,1,,,0,0,140160,,,,1,,,,"Boats, Boats > Stryker PRO Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2019/04/PRO420-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/2.jpg, https://strykerboats.com/wp-content/uploads/2019/04/3-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/4-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/5-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/6.jpg, https://strykerboats.com/wp-content/uploads/2019/04/7-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/9-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO420-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-2.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-3.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-4.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-5.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-6.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-7.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-8.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-9.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-10.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-11.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-12.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-13.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-14.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-15.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-16.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-17.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-18.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-19.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-23.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-27.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-32.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-34.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-37.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-39.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-40.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-43.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-45.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-47.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-48.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-RED-49.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-RED-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-1-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-2-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-3-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-4-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-6-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-7-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-8-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-9-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-10-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-11-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-12-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-14-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-15-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-16-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-17-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-18-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-20-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-21-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-22-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-23-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-24-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-25-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-26-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-27-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-28-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-29-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-30-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-31-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-420-Grey-Grey-32-1.jpg",,,,,"id:347, id:348, id:1853",,,,110,color,"Blacked Out, Blacked Out (2023), Rescue Red, Storm Grey, Storm Grey (2023)",1,1,flooring,"Airmat, Grey EVA, Tan EVA",1,1,,,,,,,,,,,,,,,
320,variable,,"Stryker PRO 380 (12’ 5”) Inflatable Boat",1,0,visible,"The Stryker PRO 380 inflatable boat comes with the added protection of 1.8mm wrapped with our Stryker Shield® under the entire bottom of the boat. There is no other comparable boat on the market today. We add a 20” transom for the ability to add a JET outboard for extreme shallow water use. Please note: this model requires a 20” prop motor. This is the perfect inflatable boat for 4 adventure seekers paired with a 20HP long shaft outboard or a 25HP JET.","<h3><strong>Stryker PRO 380 Overview:</strong></h3>
\nThe Stryker PRO 380 inflatable boat comes with the added protection of 1.8mm wrapped with our Stryker Shield® under the entire bottom of the boat. Tough enough for all your adventures, light enough to pack around.  NEW A- Style Bow with improved keel rise.  We add a 20” transom for the ability to add a JET outboard for extreme shallow water use or a long shaft prop motor.  This is the perfect inflatable boat for 4 adventure seekers.  Manageable as a roll up, but fully protected.
\n<h3><strong>Material &amp; Construction:</strong></h3>
\nOur exclusive PRO line features 7 <a href=""https://strykerboats.com/product/scotty-glue-on-pad-for-inflatable-boats-black/"" target=""_blank"" rel=""noopener"">Scotty® bases</a> pre-installed at time of manufacturing to plug and play up to 30 different <a href=""https://strykerboats.com/product-category/stryker-inflatable-boat-accessories/scotty/"" target=""_blank"" rel=""noopener"">Scotty® accessories</a> for all your fishing adventures.
\n
\nStryker Inflatable Boats are constructed with an imported high grade German Mehler PVC using the latest thermowelding technology.  Thermowelding is a process involving heat welded together that adds superior strength and durability.
\n
\nThe Stryker fully welded aluminum transom removes the most common failure point (wood and plastic 3 piece transoms) found on all other inflatable boats on the market.  The 20"" transom gives you the ability to add a JET outboard for extreme shallow water use or a long shaft prop outboard motor.  This is the perfect inflatable boat for 3-4 adventure seekers paired with a 20EFI long shaft(prop) outboard or a 35HP JET.
\n
\n6 Air Chambers, 2259lbs weight capacity, maximum 8 people. Heavy duty interlocking aluminum floor system with side stringers.
\n<h3><strong>Motor Recommendation for the Stryker PRO 380:</strong></h3>
\nPlease note: this model requires a 20” prop motor.
\n<h3><strong>Included:</strong></h3>
\nComes fully equipped with military grade wrap around life line and interior grab lines, multiple heavy duty D-ring systems installed throughout,  fuel tank/battery box tie down, heavy duty transom motor mount, towing eyes on bow, with heavy duty D-handle for use with <a href=""https://strykerboats.com/product/stryker-launching-wheels-standard/"" target=""_blank"" rel=""noopener"">Stryker launching wheel system</a>.
\n
\nIncluded in your package: single set of <a href=""https://strykerboats.com/product/stryker-oar-kit/"" target=""_blank"" rel=""noopener"">oars</a>, double set of <a href=""https://strykerboats.com/product/aluminum-bench-seats/"" target=""_blank"" rel=""noopener"">aluminum seats</a>, 1680 denier <a href=""https://strykerboats.com/product/stryker-easy-load-boat-bag/"" target=""_blank"" rel=""noopener"">boat bag</a>, floor bag, <a href=""https://strykerboats.com/product/stryker-bow-bag/"" target=""_blank"" rel=""noopener"">bow bag</a>, <a href=""https://strykerboats.com/product/essentials-bag/"" target=""_blank"" rel=""noopener"">essential bag</a>, <a href=""https://strykerboats.com/product/stryker-smart-cargo-bag-bench-cushion/"" target=""_blank"" rel=""noopener"">smart cargo bag bench cushion</a>, <a href=""https://strykerboats.com/product/repair-kit5x6/"" target=""_blank"" rel=""noopener"">repair kit</a> and <a href=""https://strykerboats.com/product/high-pressure-foot-pump/"" target=""_blank"" rel=""noopener"">foot pump</a>.  As an added bonus, a <a href=""https://strykerboats.com/product/stryker-sunshade-bimini/"" target=""_blank"" rel=""noopener"">sun shade bimini top </a>and 2 <a href=""https://strykerboats.com/product/scotty-bait-caster-rod-holder-w-mount/"" target=""_blank"" rel=""noopener"">Scotty® baitcasters</a> fishing rod holders.
\n
\nThis Stryker Inflatable Boat package comes in 2 bags, 1 for your boat and 1 for your aluminum floor system.
\n<ul>
\n 	<li>Dimensions of Boat in Bag: 51 x 25 x 13""</li>
\n 	<li>Dimensions of Aluminum Floor in Bag: 41 x 24 x 5""</li>
\n</ul>
\nThis inflatable boat is commonly paired and recommended with our <a href=""https://strykerboats.com/product/boat-trailer-soft-hull-stryker-edition/"" target=""_blank"" rel=""noopener"">custom Road Runner Stryker Boat Trailer</a> and various console options.  Available in Storm Grey or Blacked Out.<a href=""https://strykerboats.com/warranty/""> </a>
\n
\n<a href=""https://strykerboats.com/warranty/"" target=""_blank"" rel=""noopener"">Stryker Boats 5 year manufacturer warranty</a>.
\n
\n&nbsp;",,,taxable,,1,,,0,0,121109,,,,1,,,,"Boats, Boats > Stryker PRO Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2023/09/PRO380.jpg, https://strykerboats.com/wp-content/uploads/2023/09/PRO380.jpg, https://strykerboats.com/wp-content/uploads/2023/09/1321-264-St-.jpg, https://strykerboats.com/wp-content/uploads/2023/09/26-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/25.jpg, https://strykerboats.com/wp-content/uploads/2023/09/23-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/22-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/20-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/19-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/8-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/9-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/12-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/15-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/17.jpg, https://strykerboats.com/wp-content/uploads/2023/09/18-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/7-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/6-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/5-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/4-scaled.jpg, https://strykerboats.com/wp-content/uploads/2023/09/1-scaled.jpg",,,,,"id:347, id:348, id:1853",,,,109,color,"Blacked Out, Storm Grey, Storm Grey (2023)",1,1,flooring,"Airmat, Grey EVA, Tan EVA",1,1,,,,,,,,,,,,,,,
321,variable,,"Stryker HD 420 (13 ’7”) Inflatable Boat",1,0,visible,"The Stryker HD 420 comes standard with 1.8mm material underneath the boat as well as the seating area. Every Stryker HD inflatable boat comes standard with 5 air chambers, 7 factory installed Scotty® base mounts and bimini canopy, 2 Scotty® Baitcaster rod holders kits &amp; essential bag. This inflatable boat is available in Blacked Out or Storm Grey.","<h3><strong>Stryker HD 420 Overview: </strong></h3>
\nThe Stryker HD 420 offers all the standard features of the Stryker LX line with the addition of 5 air chambers, 2 extra <a href=""https://strykerboats.com/product/scotty-glue-on-pad-for-inflatable-boats-black/"" target=""_blank"" rel=""noopener"">Scotty Bases®</a> (7 in total), 1.8mm material for hull with our signature <em>Stryker Shield® </em>and additional seating protection. <em>Stryker Shield</em>® is an 8” wide corrugated rubber strip that protects the bottom of the tubes and keel.  Plus NEW A- Style Bow.  A <a href=""https://strykerboats.com/product/stryker-sunshade-bimini/"" target=""_blank"" rel=""noopener"">sun shade bimini top</a> and 2 <a href=""https://strykerboats.com/product/scotty-bait-caster-rod-holder-w-mount/"" target=""_blank"" rel=""noopener"">Scotty® Baitcaster</a> rod holders are included. This inflatable boat is tough enough for all your adventures, light enough to pack around.  This boat is perfect for 3-4 people and all your gear.
\n<h3><strong>Material &amp; Construction:</strong></h3>
\nOur HD lineup features 7 <a href=""https://strykerboats.com/product/scotty-glue-on-pad-for-inflatable-boats-black/"" target=""_blank"" rel=""noopener"">Scotty® bases</a> pre-installed at time of manufacturing to plug and play up to 30 different <a href=""https://strykerboats.com/product-category/stryker-inflatable-boat-accessories/scotty/"" target=""_blank"" rel=""noopener"">Scotty® accessories</a> for all your fishing adventures.
\n
\nStryker Inflatable Boats are constructed with the highest grade imported German Mehler PVC using the latest thermowelding technology.  Thermowelding is a process using heat welding that bonds the material together that creates superior strength and durability over the traditional 4 layer overlapping seam technology used by most companies.
\n
\nThe HD 420 inflatable boat features a 15” heavy duty 1 piece reinforced aluminum transom.  The Stryker fully welded aluminum transom removes the most common failure point (wood and plastic 3 piece transoms) found on all other inflatable boats on the market.  The 15"" transom gives you the ability to add a short shaft prop outboard motor.
\n
\n6 Air Chambers, 2998lbs weight capacity, maximum 10 people. Heavy duty interlocking aluminum floor system with side stringers.
\n<h3><strong>Motor Recommendation for the Stryker HD 420:</strong></h3>
\n20HP manual start prop outboard or 30HP 4 Stroke short shaft electric start, prop outboard.
\n<h3><strong>Included:</strong></h3>
\nComes fully equipped with military grade wrap around life line and interior grab lines, multiple heavy duty D-ring systems installed throughout,  fuel tank/battery box tie down, heavy duty transom motor mount, towing eyes on bow, with heavy duty D-handle for use with <a href=""https://strykerboats.com/product/stryker-launching-wheels-standard/"" target=""_blank"" rel=""noopener"">Stryker launching wheel system</a>.
\n
\nIncluded in your package: single set of <a href=""https://strykerboats.com/product/stryker-oar-kit/"" target=""_blank"" rel=""noopener"">oars</a>, double set of <a href=""https://strykerboats.com/product/aluminum-bench-seats/"" target=""_blank"" rel=""noopener"">aluminum seats</a>, 1680 denier <a href=""https://strykerboats.com/product/stryker-easy-load-boat-bag/"" target=""_blank"" rel=""noopener"">boat bag</a>, floor bag, <a href=""https://strykerboats.com/product/stryker-bow-bag/"" target=""_blank"" rel=""noopener"">bow bag</a>, <a href=""https://strykerboats.com/product/essentials-bag/"" target=""_blank"" rel=""noopener"">essential bag</a>, <a href=""https://strykerboats.com/product/stryker-smart-cargo-bag-bench-cushion/"" target=""_blank"" rel=""noopener"">smart cargo bag bench cushion</a>, <a href=""https://strykerboats.com/product/repair-kit5x6/"" target=""_blank"" rel=""noopener"">repair kit</a> and <a href=""https://strykerboats.com/product/high-pressure-foot-pump/"" target=""_blank"" rel=""noopener"">foot pump</a>.  As an added bonus, a <a href=""https://strykerboats.com/product/stryker-sunshade-bimini/"" target=""_blank"" rel=""noopener"">sun shade bimini top</a> and 2 <a href=""https://strykerboats.com/product/scotty-bait-caster-rod-holder-w-mount/"" target=""_blank"" rel=""noopener"">Scotty® baitcasters</a> fishing rod holders.
\n
\nThis Stryker Inflatable Boat package comes in 2 bags, 1 for your boat and 1 for your aluminum floor system.
\n<ul>
\n 	<li>Dimensions of Boat in Bag: 55 x 25 x 15""</li>
\n 	<li>Dimensions of Aluminum Floor in Bag: 45 x 25 x 6""</li>
\n</ul>
\nThis inflatable boat is commonly paired and recommended with our <a href=""https://strykerboats.com/product/boat-trailer-soft-hull-stryker-edition/"" target=""_blank"" rel=""noopener"">custom Road Runner Stryker Boat Trailer</a> and various console options.  Available in Storm Grey or Blacked Out.
\n
\n<a href=""https://strykerboats.com/warranty/"" target=""_blank"" rel=""noopener"">Stryker Boats 5 year manufacturer warranty</a>.",,,taxable,,1,,,0,0,117480,,,,1,,,,"Boats, Boats > Stryker HD Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9027-103a.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2415-66.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9027-103a.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2407-63.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2397-61.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF0734-134.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9089-116a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9083-114a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9078-113a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9061-112a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9058-110a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9057-109a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/IMG_5310.jpg, https://strykerboats.com/wp-content/uploads/2019/04/IMG_5311.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9055-108a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/HD420-DSCF9050-107a.jpg",,,,,"id:347, id:348, id:1853",,,,97,color,"Blacked Out, Storm Grey",1,1,flooring,"Grey EVA, Tan EVA",1,1,,,,,,,,,,,,,,,
322,variable,,"Stryker Oars (Pair)",1,0,visible,"<ul>
\n 	<li><strong>Small -</strong> 250/320 (8' - 10')</li>
\n 	<li><strong>Medium -</strong> 360/380 (11' - 13')</li>
\n 	<li><strong>Large -</strong> 420 (14' - 15')</li>
\n 	<li>Aluminum shaft with plastic blade. Our oars are designed to lock into place with our signature oar lock system. All our boats come with a pair but should you need to replace your set, we've got extras.</li>
\n 	<li>Stryker Inflatable Boats, Vancouver Canada is your inflatable boat accessory dealer.</li>
\n</ul>","<ul>
\n 	<li><strong>Small -</strong> 250/320 (8' - 10')</li>
\n 	<li><strong>Medium -</strong> 360/380 (11' - 13')</li>
\n 	<li><strong>Large -</strong> 420 (14' - 15')</li>
\n 	<li>Aluminum shaft with plastic blade. Our oars are designed to lock into place with our signature oar lock system. All our boats come with a pair but should you need to replace your set, we've got extras.</li>
\n 	<li>Stryker Inflatable Boats, Vancouver Canada is your inflatable boat accessory dealer.</li>
\n</ul>",,,taxable,,1,,,0,0,3175,,,,1,,,,"Stryker Inflatable Boat Accessories > Parts, Stryker Inflatable Boat Accessories, Stryker Inflatable Boat Accessories > Stryker®",,,"https://strykerboats.com/wp-content/uploads/2021/02/Oars.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_1.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_8.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_9.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_6.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_5.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_4.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_3.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Oars_2.jpg",,,,,,,,,79,size,"Extra Large, Large, Medium, Small",1,1,,,,,,,,,,,,,,,,,,,
323,simple,SC1073,"Scotty Laketroller Downrigger",1,0,visible,"Scotty's 1073DP is a Laketroller manual downrigger with an included 11"" fixed boom and side or deck mount.
\n<ul>
\n 	<li>1 ft/ spool turn, for use with under 4lb weights</li>
\n 	<li>100 ft of 150 lb test Stainless Steel Cable</li>
\n 	<li>Adjustable drag brake</li>
\n 	<li>5/16” diameter, 11” long marine grade stainless steel</li>
\n 	<li>1 Mini Power Grip Plus line release</li>
\n</ul>
\nStryker Inflatable Boats, Vancouver Canada is your Scotty Fishing Products accessory dealer.","Scotty's 1073DP is a Laketroller manual downrigger with an included 11"" fixed boom and side or deck mount.
\n<ul>
\n 	<li>1 ft/ spool turn, for use with under 4lb weights</li>
\n 	<li>100 ft of 150 lb test Stainless Steel Cable</li>
\n 	<li>Adjustable drag brake</li>
\n 	<li>5/16” diameter, 11” long marine grade stainless steel</li>
\n 	<li>1 Mini Power Grip Plus line release</li>
\n</ul>
\nStryker Inflatable Boats, Vancouver Canada is your Scotty Fishing Products accessory dealer.",,,taxable,,1,,,0,0,2268,,,,1,,,100,"Stryker Inflatable Boat Accessories > Bestsellers, Accessories > HD380 Accessories, Accessories > HD420 Accessories, Accessories > LX250 LX270 Accessories, Accessories > LX320 Accessories, Accessories > LX360 LX380 LX420 Accessories, Accessories > PRO320 Accessories, Accessories > PRO380 PRO420 PRO500 Accessories, Accessories > RIB230 RIB250 RIB270 Accessories, Accessories > RIB320 Accessories, Accessories > RIB380 Accessories, Accessories > RIB420 Accessories, Accessories > RIB450 RIB500 RIB520, Stryker Inflatable Boat Accessories > Scotty, Stryker Inflatable Boat Accessories",,,"https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__2.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__8.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__7.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__6.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__5.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__4.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__3.jpg, https://strykerboats.com/wp-content/uploads/2021/02/SCOTTY_-LAKETROLLER-DOWNRIGGER__1.jpg",,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,
324,simple,SC1050,"Scotty Depthmaster Downrigger",1,0,visible,"Scotty's 1050 is a compact manual downrigger with an included 23"" fixed boom and rod holder.
\n<ul>
\n 	<li>1 ft/ spool turn</li>
\n 	<li>200 ft of 150 lb test Stainless Steel Cable</li>
\n 	<li>Depth Counter</li>
\n 	<li>Spray protected, positive drive, analog counter</li>
\n 	<li>Boom mounted Rodmaster II rod holder</li>
\n 	<li>Quick-Slide Deck Mounting Bracket</li>
\n 	<li>Clutch brake with large braking surface</li>
\n 	<li>¾” diameter, 23” long marine grade stainless steel</li>
\n 	<li>1 Power Grip Plus line release 1170</li>
\n</ul>
\nStryker Inflatable Boats, Vancouver Canada is your Scotty Fishing Products accessory dealer.","Scotty's 1050 is a compact manual downrigger with an included 23"" fixed boom and rod holder.
\n<ul>
\n 	<li>1 ft/ spool turn</li>
\n 	<li>200 ft of 150 lb test Stainless Steel Cable</li>
\n 	<li>Depth Counter</li>
\n 	<li>Spray protected, positive drive, analog counter</li>
\n 	<li>Boom mounted Rodmaster II rod holder</li>
\n 	<li>Quick-Slide Deck Mounting Bracket</li>
\n 	<li>Clutch brake with large braking surface</li>
\n 	<li>¾” diameter, 23” long marine grade stainless steel</li>
\n 	<li>1 Power Grip Plus line release 1170</li>
\n</ul>
